City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
209,cabo san lucas,MX,89.62,68,0,9.22,22.8909,-109.9124,1687027333
210,cumberland,US,87.87,38,0,11.5,35.0502,-78.8664,1687027757
211,usogorsk,RU,41.13,84,99,6.51,63.4106,48.6872,1687027771
212,chonglong,CN,70.18,93,100,3.2,29.7806,104.8522,1687027771
213,bikenibeu village,KI,80.56,89,75,2.3,1.3673,173.1241,1687027771
214,charlestown,AU,50.41,78,61,1.01,-32.95,151.6667,1687027772
215,naousa,GR,64.42,75,100,5.26,40.6329,22.0534,1687027772
216,las veredas,MX,88.97,55,0,13.8,23.1388,-109.7075,1687027772
217,les cayes,HT,85.96,69,100,11.36,18.2,-73.75,1687027401
218,bali,ID,77.97,89,11,3.62,-8.5,115.0,1687027772
219,arauco,CL,57.99,43,100,3.22,-37.2463,-73.3175,1687027772
220,fonte boa,BR,78.89,82,82,2.15,-2.4959,-66.2662,1687027772
221,mount gambier,AU,45.16,90,27,6.51,-37.8333,140.7667,1687027385
222,kodiak,US,51.31,82,75,4.61,57.79,-152.4072,1687027378
223,sars,RU,47.62,57,1,9.24,56.5502,57.1366,1687027772
224,yaren,NR,82.54,70,100,4.47,-0.5472,166.916,1687027772
225,happy valley-goose bay,CA,48.51,71,100,16.11,53.3168,-60.3315,1687027387
226,nova vicosa,BR,77.13,70,98,7.38,-17.8919,-39.3719,1687027220
227,mabaruma,GY,89.6,66,40,6.91,8.2,-59.7833,1687027773
228,sarangani,PH,82.83,75,90,8.61,5.4033,125.4636,1687027773
229,richards bay,ZA,70.47,51,0,14.36,-28.783,32.0377,1687027773
230,viborg,DK,66.2,88,52,6.87,56.4532,9.402,1687027773
231,lingcheng,CN,77.29,91,100,6.22,22.7072,110.3492,1687027773
232,campbellton,CA,52.25,90,100,9.01,48.0075,-66.6727,1687027773
233,villefranche-de-rouergue,FR,79.57,65,100,2.82,44.3333,2.0,1687027773
234,minas de barroteran,MX,98.13,35,53,5.99,27.6333,-101.2833,1687027773
235,princeville,CA,70.75,79,75,10.36,45.7668,-61.2985,1687027304
236,chail,IN,98.78,29,22,8.81,25.4333,81.6333,1687027774
237,tamanrasset,DZ,93.11,11,40,6.91,22.785,5.5228,1687027420
238,cooper's town,BS,84.24,69,95,6.64,26.8667,-77.5167,1687027774
239,selfoss,IS,57.04,78,100,7.63,63.9331,-20.9971,1687027774
240,olonkinbyen,SJ,38.77,99,100,12.33,70.9221,-8.7187,1687027388
241,san antonio de pale,GQ,76.69,78,100,12.95,-1.4014,5.6325,1687027367
242,malindi,KE,80.76,69,20,11.5,-3.2175,40.1191,1687027774
243,bridgewater,CA,56.62,94,100,14.97,44.3835,-64.5155,1687027504
244,annaba,DZ,71.56,83,0,10.36,36.9,7.7667,1687027774
245,doctor arroyo,MX,89.4,16,100,14.9,23.6667,-100.1833,1687027774
246,currais novos,BR,77.04,68,100,16.51,-6.2608,-36.5178,1687027774
247,katsuura,JP,70.11,85,53,11.12,35.1333,140.3,1687027774
248,ivot,RU,63.63,70,89,2.75,53.6756,34.1872,1687027775
249,callao,PE,73.69,68,100,6.91,-12.0667,-77.15,1687027393
250,kuusamo,FI,60.84,41,0,9.22,65.9667,29.1833,1687027775
251,awjilah,LY,79.68,42,0,16.37,29.1081,21.2869,1687027775
252,sitka,US,53.49,71,40,6.91,57.0531,-135.33,1687027389
253,ketchikan,US,51.78,81,75,5.75,55.3422,-131.6461,1687027775
254,ambodifotatra,MG,77.97,72,18,16.93,-16.9833,49.85,1687027775
255,mehtar lam,AF,86.83,45,0,3.78,34.6714,70.2094,1687027775
256,okha,RU,43.74,92,100,8.79,53.5739,142.9478,1687027400
257,coquimbo,CL,58.73,82,20,11.5,-29.9533,-71.3436,1687027186
258,santa cruz,BO,72.86,40,0,14.97,-17.8,-63.1667,1687027246
259,kill devil hills,US,78.8,70,40,9.22,36.0307,-75.676,1687027776
260,mazatlan,MX,88.92,70,100,5.99,23.2167,-106.4167,1687027776
261,huarmey,PE,75.27,70,13,10.33,-10.0681,-78.1522,1687027776
262,santo antonio do ica,BR,83.55,59,55,2.77,-3.1022,-67.9397,1687027776
263,broken hill,AU,45.75,84,2,8.23,-31.95,141.4333,1687027401
264,conyers,US,91.35,45,0,0.0,33.6676,-84.0177,1687027776
265,akdepe,TM,82.49,24,11,8.34,42.0551,59.3788,1687027776
266,durres,AL,64.58,65,96,13.02,41.3231,19.4414,1687027776
267,umluj,SA,89.44,47,0,3.27,25.0213,37.2685,1687027776
268,afaahiti,PF,80.47,76,30,16.98,-17.75,-149.2833,1687027385
269,guerrero negro,MX,73.0,58,100,17.16,27.9769,-114.0611,1687027369
270,corinto,GR,73.89,78,46,7.02,37.9407,22.9573,1687027776
271,walvis bay,NA,59.95,77,0,2.3,-22.9575,14.5053,1687027374
272,susuman,RU,59.67,54,89,3.42,62.7833,148.1667,1687027380
273,nova sintra,CV,71.24,81,100,7.83,14.8667,-24.7167,1687027369
274,buka,UZ,79.93,14,5,5.3,40.8108,69.1986,1687027777
275,caleta de carquin,PE,73.13,72,15,9.06,-11.0925,-77.6267,1687027401
276,atafu village,TK,83.21,75,20,7.94,-8.5421,-172.5159,1687027370
277,bouar,CF,67.33,95,99,1.45,5.934,15.596,1687027777
278,palu,ID,74.61,96,47,2.93,-0.8917,119.8707,1687027777
279,al jawf,SA,92.53,15,5,7.52,29.5,38.75,1687027409
280,malone,US,60.26,98,100,5.32,44.8487,-74.2949,1687027777
281,al qusayr,SY,69.12,80,1,6.38,34.5091,36.5798,1687027777
282,ostersund,SE,73.85,28,61,12.66,63.1792,14.6357,1687027613
283,slave lake,CA,60.78,41,20,14.97,55.2834,-114.769,1687027755
284,ugurludag,TR,60.3,87,95,7.2,40.4463,34.4526,1687027778
285,okhotsk,RU,48.51,90,79,1.32,59.3833,143.3,1687027394
286,verkhnevilyuysk,RU,48.83,74,83,5.3,63.4453,120.3167,1687027778
287,codrington,AU,42.37,94,5,10.51,-38.2667,141.9667,1687027396
288,presque isle,US,57.63,78,100,14.97,46.6811,-68.0159,1687027778
289,khandyga,RU,52.86,77,68,2.46,62.6667,135.6,1687027389
290,birjand,IR,84.67,8,0,9.22,32.8663,59.2211,1687027778
291,mount pleasant,US,89.31,58,0,6.91,32.7941,-79.8626,1687027511
292,san patricio,US,100.49,35,78,16.69,28.017,-97.5169,1687027371
293,portland,US,65.28,69,100,4.61,45.5234,-122.6762,1687027102
294,aripuana,BR,88.43,43,92,3.11,-9.1667,-60.6333,1687027778
295,sochi,RU,68.09,79,0,5.79,43.6,39.7303,1687027525
296,saint-philippe,RE,74.79,83,31,13.8,-21.3585,55.7679,1687027398
297,delvada,IN,85.42,70,100,17.27,20.7667,71.0333,1687027779
298,mil'kovo,RU,71.74,69,75,8.43,55.6078,37.7956,1687027779
299,filey,GB,65.88,64,100,4.0,54.21,-0.2892,1687027779
300,tanabe,JP,68.97,95,100,1.81,33.7333,135.3667,1687027419
301,barranca,PE,73.17,70,68,9.82,-10.75,-77.7667,1687027779
302,qiancheng,CN,78.55,80,89,8.66,27.185,109.7654,1687027779
303,nizhneangarsk,RU,47.07,50,100,3.8,55.7833,109.55,1687027779
304,prince rupert,CA,47.89,90,100,8.05,54.3161,-130.3201,1687027248
305,lejanias,CO,70.65,85,100,2.91,3.5251,-74.0216,1687027779
306,szentlorinc,HU,68.88,76,100,4.52,46.0402,17.9872,1687027779
307,udachny,RU,50.45,57,61,20.45,66.4167,112.4,1687027366
